,BMX,Ciclismo_1.0,Ciclismo_2.0,Ciclismo_3.0,Ciclismo_4.0,Ciclismo_5.0,Ciclismo estacionario_1.0,Ciclismo estacionario_2.0,Ciclismo estacionario_3.0,Ciclismo estacionario_4.0,Ciclismo estacionario_5.0,Calistenia_1.0,Calistenia_2.0,Entrenamiento en circuito,Levantamiento de peso_1.0,Levantamiento de peso_2.0,Máquina escaladora,Aeróbicos_1.0,Aeróbicos_2.0,Aeróbicos_3.0,Yoga,Aeróbicos acuáticos,Correr,Atletismo_1.0,Atletismo_2.0,Atletismo_3.0,Bádminton,Baloncesto,Bolos,Billar,Boxeo,Dardos,Frisbee,Ultimate frisbee,Golf,Minigolf,Gimnasia,Balonmano,Hockey,Petanca,Calva,Artes marciales,Kickboxing,Kickball,Padel,Raquetbol,Escalada,Salto a la comba_1.0,Salto a la comba_2.0,Salto a la comba_3.0,Chito,Skateboard,Patinaje,Fútbol,Fútbol sala,Sóftbol,Béisbol,Tenis de mesa,Tai chi,Tenis,Tenis en pareja,Voleibol,Marcha rápida,Montañismo,Caminar_1.0,Caminar_2.0,Caminar_3.0,Natación_1.0,Natación_2.0,Natación_3.0,Nado sincronizado,Waterpolo,Voleibol acuático,Patinaje sobre hielo,Frontenis,Senderismo
48,0.7550778870751321,0.6256852000093039,0.6930999340829652,0.7446827185703436,0.7808395670562377,0.804099341415223,0.5998976262087647,0.5998976262087647,0.5998976262087647,0.5998976262087647,0.5998976262087647,0.5998976262087647,0.5998976262087647,0.5998976262087647,0.5998976262087647,0.5998976262087647,0.5998976262087647,0.5998976262087647,0.5998976262087647,0.5998976262087647,0.5998976262087647,0.5998976262087647,0.28905350222789433,0.5998976262087647,0.5998976262087647,0.5998976262087647,0.5277255809572332,0.18176013895830304,0.029706535261613407,0.0,0.2680248336043362,0.0,0.4789005173028939,0.7446827185703436,0.6442110564614234,0.029706535261613407,0.5998976262087647,0.3344220782062795,0.7446827185703436,0.021018581739512227,0.021018581739512227,0.2810063273155599,0.35987716193091085,0.1507306298616613,0.4972985175964143,0.5218762581383335,0.5998976262087647,0.9901290039303444,1.0000000000000002,0.9932575426179497,0.021018581739512227,0.9216120094170526,0.9757148548954675,0.2810063273155599,0.18176013895830304,0.5428267098115233,0.5428267098115233,0.4436543745021323,0.5998976262087647,0.5335451560361961,0.4972985175964143,0.2173990934483223,0.22267157548137706,0.28905350222789433,0.029706535261613407,0.14538703146732732,0.2129218444635704,0.5998976262087647,0.5998976262087647,0.5998976262087647,0.28905350222789433,0.2810063273155599,0.021018581739512227,0.5998976262087647,0.6101366432714289,0.19785363540738055
49,0.7409336611253861,0.5823164937648654,0.6629301728794238,0.7274411585650054,0.7755747895531423,0.809557750043198,0.6886046692761599,0.6886046692761599,0.6886046692761599,0.6886046692761599,0.6886046692761599,0.6886046692761599,0.6886046692761599,0.6886046692761599,0.6886046692761599,0.6886046692761599,0.6886046692761599,0.6886046692761599,0.6886046692761599,0.6886046692761599,0.6886046692761599,0.6886046692761599,0.3317959308535214,0.6886046692761599,0.6886046692761599,0.6886046692761599,0.4949264090118896,0.20863706557060965,0.0340992495977058,0.0,0.30765774665306583,0.0,0.43818992295643056,0.7274411585650054,0.6041720855029888,0.0340992495977058,0.6886046692761599,0.3838731718563961,0.7274411585650054,0.02412660576582106,0.02412660576582106,0.32255881775784956,0.41309230649503986,0.17301921359754846,0.47565174375476077,0.5047753985541584,0.6886046692761599,0.9672046521110021,0.9932575426179497,1.0000000000000002,0.02412660576582106,0.8704047192406748,0.9437425962085465,0.32255881775784956,0.20863706557060965,0.5126657694583378,0.5126657694583378,0.4129029419262027,0.6886046692761599,0.5186996748580706,0.47565174375476077,0.2495459630187344,0.2555980885615228,0.3317959308535214,0.0340992495977058,0.16688545569567195,0.24440666187514365,0.6886046692761599,0.6886046692761599,0.6886046692761599,0.3317959308535214,0.32255881775784956,0.02412660576582106,0.6886046692761599,0.5931600632176195,0.2271103121974558
50,0.47370262733235735,0.5006069495876991,0.49351272436881066,0.4784236079186582,0.4578928622922445,0.4343771546528396,0.035036947674464955,0.035036947674464955,0.035036947674464955,0.035036947674464955,0.035036947674464955,0.035036947674464955,0.035036947674464955,0.035036947674464955,0.035036947674464955,0.035036947674464955,0.035036947674464955,0.035036947674464955,0.035036947674464955,0.035036947674464955,0.035036947674464955,0.035036947674464955,0.6361112975398211,0.035036947674464955,0.035036947674464955,0.035036947674464955,0.004021392231071556,0.48682073867961007,0.7075406658639286,0.0,0.0156539577090847,0.0,0.40883310601897604,0.012697167531338531,0.4996730235719713,0.7075406658639286,0.035036947674464955,0.4343771546528396,0.012697167531338531,0.9999999999999999,0.9999999999999999,0.016412140265616867,0.021018581739512227,0.7986211169869688,0.3540948919123686,0.3524172297774809,0.035036947674464955,0.01688213453466005,0.021018581739512227,0.02412660576582106,0.9999999999999999,0.008491311836419654,0.014367830847570722,0.4578928622922445,0.48682073867961007,0.4088208764544579,0.4088208764544579,0.3549651855077418,0.035036947674464955,0.35128914712723325,0.3540948919123686,0.4784236079186582,0.6691929619879369,0.6361112975398211,0.7075406658639286,0.6940967027426758,0.6730988034896767,0.035036947674464955,0.035036947674464955,0.035036947674464955,0.01688213453466005,0.4578928622922445,0.5006137938511716,0.035036947674464955,0.4017174153322322,0.6786874521882593
51,0.7261974786402372,0.7077077364016582,0.7241280561495802,0.7272212435853487,0.7196311224270405,0.704642886135462,0.2423530701165544,0.2423530701165544,0.2423530701165544,0.2423530701165544,0.2423530701165544,0.2423530701165544,0.2423530701165544,0.2423530701165544,0.2423530701165544,0.2423530701165544,0.2423530701165544,0.2423530701165544,0.2423530701165544,0.2423530701165544,0.2423530701165544,0.2423530701165544,0.11677493064207259,0.2423530701165544,0.2423530701165544,0.2423530701165544,0.5842529141032134,0.07342940824711118,0.012001164379790812,0.0,0.10827954379816895,0.0,0.5668435715220834,0.7272212435853487,0.7132157329807334,0.012001164379790812,0.2423530701165544,0.13510341402792195,0.7272212435853487,0.008491311836419654,0.008491311836419654,0.11352394670653945,0.14538703146732732,0.06089377472359448,0.5195611645088597,0.5264384499092409,0.2423530701165544,0.9669122534903186,0.9216120094170526,0.8704047192406748,0.008491311836419654,1.0,0.9842444597823338,0.11352394670653945,0.07342940824711118,0.5889970011945456,0.5889970011945456,0.5018140641954272,0.2423530701165544,0.529378564160787,0.5195611645088597,0.0878272149045334,0.08995724868366442,0.11677493064207259,0.012001164379790812,0.058735010594919534,0.08601844789208776,0.2423530701165544,0.2423530701165544,0.2423530701165544,0.11677493064207259,0.11352394670653945,0.008491311836419654,0.2423530701165544,0.6053719286976326,0.07993103136236333
52,0.7538464235841954,0.6844634744195641,0.7244430804733758,0.7496884770733804,0.7618767648669166,0.7640141328065171,0.41007655635602197,0.41007655635602197,0.41007655635602197,0.41007655635602197,0.41007655635602197,0.41007655635602197,0.41007655635602197,0.41007655635602197,0.41007655635602197,0.41007655635602197,0.41007655635602197,0.41007655635602197,0.41007655635602197,0.41007655635602197,0.41007655635602197,0.41007655635602197,0.19759048813940913,0.41007655635602197,0.41007655635602197,0.41007655635602197,0.570159902273286,0.12424715253144629,0.020306720928933694,0.0,0.18321576212424118,0.0,0.5380910327794571,0.7496884770733804,0.6960119544123098,0.020306720928933694,0.41007655635602197,0.22860342866656222,0.7496884770733804,0.014367830847570722,0.014367830847570722,0.1920896199374465,0.2460039527218423,0.10303607637469453,0.5197871941497911,0.5348655455227689,0.41007655635602197,0.996784652781768,0.9757148548954675,0.9437425962085465,0.014367830847570722,0.9842444597823338,0.9999999999999999,0.1920896199374465,0.12424715253144629,0.5797170352541401,0.5797170352541401,0.4853322639062781,0.41007655635602197,0.5418409178264918,0.5197871941497911,0.14860914212916834,0.15221329253934462,0.19759048813940913,0.020306720928933694,0.09938331241570617,0.14554859518681953,0.41007655635602197,0.41007655635602197,0.41007655635602197,0.19759048813940913,0.1920896199374465,0.014367830847570722,0.41007655635602197,0.6196232784603107,0.135248305586966
53,0.18291459009572714,0.04925693552419918,0.11233999010458477,0.16975381400660652,0.21942085896114522,0.26112999076063853,0.4684238027269165,0.4684238027269165,0.4684238027269165,0.4684238027269165,0.4684238027269165,0.4684238027269165,0.4684238027269165,0.4684238027269165,0.4684238027269165,0.4684238027269165,0.4684238027269165,0.4684238027269165,0.4684238027269165,0.4684238027269165,0.4684238027269165,0.4684238027269165,0.2257044115357182,0.4684238027269165,0.4684238027269165,0.4684238027269165,0.4120690141591475,0.9839005211596248,0.6471611942377099,0.0,0.20928439503193003,0.0,0.3739444725937999,0.5814777315627292,0.06563101987190316,0.02319603813241907,0.4684238027269165,0.9946151724810985,0.5814777315627292,0.4578928622922445,0.4578928622922445,0.6097104294805726,0.2810063273155599,0.8159321737184022,0.6960168864999949,0.7122611435662277,0.4684238027269165,0.2257044115357182,0.2810063273155599,0.32255881775784956,0.4578928622922445,0.11352394670653945,0.1920896199374465,1.0,0.9839005211596248,0.7808558819776623,0.7808558819776623,0.6579191822733942,0.4684238027269165,0.7196596325391896,0.6960168864999949,0.9932016491188518,0.1738707765946088,0.2257044115357182,0.02319603813241907,0.11352394670653945,0.16625780084774988,0.4684238027269165,0.4684238027269165,0.4684238027269165,0.773131902758794,1.0,0.8993735843188722,0.4684238027269165,0.47641883237720867,0.15449194701200172
54,0.11831257192997544,0.031860305534988115,0.07266360301223393,0.109799936240917,0.14192550821228292,0.16890375337895788,0.30298526118029745,0.30298526118029745,0.30298526118029745,0.30298526118029745,0.30298526118029745,0.30298526118029745,0.30298526118029745,0.30298526118029745,0.30298526118029745,0.30298526118029745,0.30298526118029745,0.30298526118029745,0.30298526118029745,0.30298526118029745,0.30298526118029745,0.30298526118029745,0.14598982733284016,0.30298526118029745,0.30298526118029745,0.30298526118029745,0.4212629184166909,0.9999999999999998,0.688046302024474,0.0,0.13536905409283165,0.0,0.3975688187449482,0.5539076923791135,0.042451368998877796,0.01500363053923708,0.30298526118029745,0.9600806666562582,0.5539076923791135,0.48682073867961007,0.48682073867961007,0.5629130146859539,0.18176013895830304,0.8292832010666532,0.7159539741789327,0.7239158108451419,0.30298526118029745,0.14598982733284016,0.18176013895830304,0.20863706557060965,0.48682073867961007,0.07342940824711118,0.12424715253144629,0.9839005211596248,0.9999999999999998,0.8133987201886903,0.8133987201886903,0.6945847787823634,0.30298526118029745,0.7272217812887382,0.7159539741789327,0.99801544851731,0.11246286450744358,0.14598982733284016,0.01500363053923708,0.07342940824711118,0.10753864965842568,0.30298526118029745,0.30298526118029745,0.30298526118029745,0.7364748208171034,0.9839005211596248,0.9630257986171119,0.30298526118029745,0.45780895773690455,0.09992827572635708
55,0.4277281371941397,0.41683773446275657,0.42650925355293823,0.42833113167673853,0.4238605730757917,0.41503254684685675,0.14274523152894197,0.14274523152894197,0.14274523152894197,0.14274523152894197,0.14274523152894197,0.14274523152894197,0.14274523152894197,0.14274523152894197,0.14274523152894197,0.14274523152894197,0.14274523152894197,0.14274523152894197,0.14274523152894197,0.14274523152894197,0.14274523152894197,0.14274523152894197,0.0687800839628818,0.14274523152894197,0.14274523152894197,0.14274523152894197,0.671862736527124,0.8133987201886903,0.5778054833855737,0.0,0.06377632658783496,0.0,0.6636539007347517,0.804932297151438,0.42008192793042165,0.007068649830539586,0.14274523152894197,0.7504895879801223,0.804932297151438,0.4088208764544579,0.4088208764544579,0.4238605730757917,0.08563252554683282,0.6745378944215962,0.8689342503044688,0.8675937198215452,0.14274523152894197,0.5695084177240579,0.5428267098115233,0.5126657694583378,0.4088208764544579,0.5889970011945456,0.5797170352541401,0.7808558819776623,0.8133987201886903,1.0,1.0,0.8654142082338935,0.14274523152894197,0.8661916103877363,0.8689342503044688,0.804932297151438,0.05298454971039032,0.0687800839628818,0.007068649830539586,0.034594745105537464,0.05066460785584897,0.14274523152894197,0.14274523152894197,0.14274523152894197,0.5695084177240579,0.7808558819776623,0.812640395701057,0.14274523152894197,0.6735487100754014,0.047079137774819174
56,0.4277281371941397,0.41683773446275657,0.42650925355293823,0.42833113167673853,0.4238605730757917,0.41503254684685675,0.14274523152894197,0.14274523152894197,0.14274523152894197,0.14274523152894197,0.14274523152894197,0.14274523152894197,0.14274523152894197,0.14274523152894197,0.14274523152894197,0.14274523152894197,0.14274523152894197,0.14274523152894197,0.14274523152894197,0.14274523152894197,0.14274523152894197,0.14274523152894197,0.0687800839628818,0.14274523152894197,0.14274523152894197,0.14274523152894197,0.671862736527124,0.8133987201886903,0.5778054833855737,0.0,0.06377632658783496,0.0,0.6636539007347517,0.804932297151438,0.42008192793042165,0.007068649830539586,0.14274523152894197,0.7504895879801223,0.804932297151438,0.4088208764544579,0.4088208764544579,0.4238605730757917,0.08563252554683282,0.6745378944215962,0.8689342503044688,0.8675937198215452,0.14274523152894197,0.5695084177240579,0.5428267098115233,0.5126657694583378,0.4088208764544579,0.5889970011945456,0.5797170352541401,0.7808558819776623,0.8133987201886903,1.0,1.0,0.8654142082338935,0.14274523152894197,0.8661916103877363,0.8689342503044688,0.804932297151438,0.05298454971039032,0.0687800839628818,0.007068649830539586,0.034594745105537464,0.05066460785584897,0.14274523152894197,0.14274523152894197,0.14274523152894197,0.5695084177240579,0.7808558819776623,0.812640395701057,0.14274523152894197,0.6735487100754014,0.047079137774819174
57,0.3536934991090548,0.35845508398646636,0.36016171610188863,0.3556241661321008,0.3464228897088509,0.33426877665199384,0.07456196064543112,0.07456196064543112,0.07456196064543112,0.07456196064543112,0.07456196064543112,0.07456196064543112,0.07456196064543112,0.07456196064543112,0.07456196064543112,0.07456196064543112,0.07456196064543112,0.07456196064543112,0.07456196064543112,0.07456196064543112,0.07456196064543112,0.07456196064543112,0.0359267896986811,0.07456196064543112,0.07456196064543112,0.07456196064543112,0.8664653643460698,0.6945847787823634,0.501688740497083,0.0,0.03331311247471104,0.0,0.5776408819971817,0.6842275508143927,0.35953835544768237,0.003692259172763783,0.07456196064543112,0.6269718515162256,0.6842275508143927,0.3549651855077418,0.3549651855077418,0.3464228897088509,0.044729543196665465,0.5760074887608115,0.995172045682859,0.9892876978107207,0.07456196064543112,0.47283734751080464,0.4436543745021323,0.4129029419262027,0.3549651855077418,0.5018140641954272,0.4853322639062781,0.6579191822733942,0.6945847787823634,0.8654142082338935,0.8654142082338935,0.9999999999999998,0.07456196064543112,0.9855418713823663,0.995172045682859,0.6842275508143927,0.027676104259363725,0.0359267896986811,0.003692259172763783,0.01807032007632994,0.026464299063454755,0.07456196064543112,0.07456196064543112,0.07456196064543112,0.47283734751080464,0.6579191822733942,0.7073179475018442,0.07456196064543112,0.8504318351301957,0.024591454161991894
