NOMBRE,EQUIPAMIENTO,ACCESIBILIDAD,CONTENT-URL,NOMBRE-VIA,CLASE-VIAL,NUM,DISTRITO,LATITUD,LONGITUD
Instalación Deportiva Municipal Básica Auditorio de Moratalaz,1 Pista de fútbol sala 2 Tenis de mesa,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=6f36c9ba6f391110VgnVCM2000000c205a0aRCRD,HACIENDA DE PAVONES,CALLE,209,MORATALAZ,40.40142760716397,-3.6370875655785446
Instalación Deportiva Municipal Básica Avenida Moratalaz M-30,1 Pista de patinaje1 Pista de baloncesto,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=428ac1f812491110VgnVCM2000000c205a0aRCRD,RAMON ARECES,CALLE,1,MORATALAZ,40.40799695992161,-3.6624292972075247
Instalación Deportiva Municipal Básica Avenida San Luis I,2 Tenis de mesa,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=a8bef12fa4f61110VgnVCM1000000b205a0aRCRD,SAN LUIS,AVENIDA,(frentealnº86),HORTALEZA,40.47176777610935,-3.655234408097839
Instalación Deportiva Municipal Básica Avenida de Brasil,1 Pista de fútbol - sala,2,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=55851b40e9891110VgnVCM2000000c205a0aRCRD,BRASIL,AVENIDA,19,TETUAN,40.45732746079714,-3.693648871749584
Instalación Deportiva Municipal Básica Ayacucho,1 pista de baloncesto,2,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=8fc5bca369a51110VgnVCM1000000b205a0aRCRD,NEVADO DEL RUIZ,CALLE,2,HORTALEZA,40.46980031598844,-3.6352736110765855
Instalación Deportiva Municipal Básica Bacares (Rocódromo),Rocódromo Zona de calistenia,2,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=1150d952c30de610VgnVCM1000001d4a900aRCRD,BACARES,CALLE,9,HORTALEZA,40.476321176468005,-3.6624133831469945
Instalación Deportiva Municipal Básica Bacares (fútbol),1 Campo de fútbol-sala pavimentado1 Pista de voleibol1 Pista de minibaloncesto1 Pista de patinaje1 Pista de skate,2,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=b9ed7874b8f61110VgnVCM1000000b205a0aRCRD,BACARES,CALLE,27,HORTALEZA,40.47743047451657,-3.663819108324953
Instalación Deportiva Municipal Básica Bahía de Santander II,1 Pista de fútbol sala,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=660c90270a0e1110VgnVCM1000000b205a0aRCRD,BAHIA DE SANTANDER,CALLE,64,BARAJAS,40.46527791543298,-3.594188775058509
Instalación Deportiva Municipal Básica Barceló,1 Pista Polideportiva,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=5875169c57c91110VgnVCM2000000c205a0aRCRD,BARCELO,PLAZA,S/N,CENTRO,40.42677040240585,-3.699382450864087
Instalación Deportiva Municipal Básica Barrio El Querol - Spartac de Manoteras,1 Campo de fútbol 11 césped artificial,2,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=9509f65195a51110VgnVCM1000000b205a0aRCRD,TIJOLA,CALLE,1,HORTALEZA,40.480800850285206,-3.659267661643925
Instalación Deportiva Municipal Básica Barrio Goya,1 Campo de fútbol,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=e904184a5b902110VgnVCM1000000b205a0aRCRD,SEPULVEDA,CALLE,9,LATINA,40.40397057983696,-3.738177408397536
Instalación Deportiva Municipal Básica Barrio IV,2 Pistas baloncesto1 Pista fúbol-sala,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=945663952e391110VgnVCM2000000c205a0aRCRD,LUIS DE HOYOS SAINZ,CALLE,150,MORATALAZ,40.40272360732888,-3.634047589018456
Instalación Deportiva Municipal Básica Barrio de Las Cárcavas,Pista de skate,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=34eba9e48ae61110VgnVCM1000000b205a0aRCRD,MONTORO,CAMINO,4,HORTALEZA,40.48002694808795,-3.6322988549742967
Instalación Deportiva Municipal Básica Barrio de Las Cárcavas- Aurora Redondo,Campo fútbol 11 césped artificial,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ce4c275562b88810VgnVCM2000001f4a900aRCRD,RAFAELA APARICIO,CALLE,3,HORTALEZA,40.479310091721416,-3.631576231392676
Instalación Deportiva Municipal Básica Barrio de Santa Ana - Andrés Navarrete,Campo de fútbol 11 (césped artificial). Campo de fútbol 7 (césped artificial). 2 pistas de bolos y petanca.,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f876d9359e735310VgnVCM2000000c205a0aRCRD,HOSPITALET DE LLOBREGAT,CALLE,11,FUENCARRAL-EL PARDO,40.49452475361937,-3.694665369930073
Instalación Deportiva Municipal Básica Barrio del Aeropuerto,1 Campo de fútbol 1 Pista polideportiva (con marcajes de fútbol sala y baloncesto)2 Tenis de mesa,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=43ea70af27fd1110VgnVCM1000000b205a0aRCRD,MEDINA DE POMAR,CALLE,14,BARAJAS,40.45120159850761,-3.5844180853262886
Instalación Deportiva Municipal Básica Baterías - Barrio Alegría,1 Pista de fútbol sala1 Pista de baloncesto1 Pista de patinaje,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=9d2677e116d91110VgnVCM1000000b205a0aRCRD,JUAN PÉREZ ZÚÑIGA,CALLE,s/n,CIUDAD LINEAL,40.44135712495445,-3.6481826411853
Instalación Deportiva Municipal Básica Belzunegui,1 Pista de baloncesto,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=a6649adbecef4110VgnVCM1000000b205a0aRCRD,BELZUNEGUI,CALLE,,CARABANCHEL,40.37487463533173,-3.739061311753124
Instalación Deportiva Municipal Básica Boston,"1 Pista polideportiva cubierta (con marcajes de baloncesto, fútbol sala y balonmano)1 Tenis de Mesa",1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=9386395961e4f010VgnVCM2000000c205a0aRCRD,BOSTON,CALLE,1,SALAMANCA,40.43729691048299,-3.666690201277176
Instalación Deportiva Municipal Básica Briviesca,2 Pista de baloncesto2 Pista de pádel,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=5cbb9256c6bed210VgnVCM1000000b205a0aRCRD,BRIVIESCA,CALLE,4,CIUDAD LINEAL,40.48183793645468,-3.666587942769085
Instalación Deportiva Municipal Básica Brujas,1 Pista de fútbol sala.,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=6a1a83dbd6891110VgnVCM2000000c205a0aRCRD,BRUJAS,CALLE,32,MORATALAZ,40.39944882958802,-3.6282662898026574
Instalación Deportiva Municipal Básica Brunete,1 pista de baloncesto1 pista de fútbol-sala,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=1be011a8111d4310VgnVCM2000000c205a0aRCRD,BRUNETE,CALLE,1,FUENCARRAL-EL PARDO,40.51667296021272,-3.773795776219611
Instalación Deportiva Municipal Básica Burgo de Osma,1 Pista polideportiva,2,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=46793331bca51110VgnVCM1000000b205a0aRCRD,BURGO DE OSMA,CALLE,5,HORTALEZA,40.46902347728972,-3.662533119132141
Instalación Deportiva Municipal Básica Burgos,7 Pistas de Pádel,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=4b781021e8d81110VgnVCM1000000b205a0aRCRD,BURGOS 18B,AVENIDA,,CHAMARTIN,40.4758640417365,-3.6755842361694255
