PK,NOMBRE,HORARIO,EQUIPAMIENTO,TRANSPORTE,ACCESIBILIDAD,CONTENT-URL,NOMBRE-VIA,CLASE-VIAL,TIPO-NUM,NUM,LOCALIDAD,PROVINCIA,CODIGO-POSTAL,BARRIO,DISTRITO,COORDENADA-X,COORDENADA-Y,LATITUD,LONGITUD
6076087,Jardines del Doctor Fleming,,No especificado,"Metro: Cuzco (línea 10) Bus: 27, 40 , 126, 147 y 150  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",2,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=b8a6a4e95e700310VgnVCM2000000c205a0aRCRD,DOCTOR FLEMING,CALLE,V,1.0,MADRID,MADRID,28036.0,HISPANOAMERICA,CHAMARTIN,441546.0,4478437.0,40.45454215758879,-3.6893863385035774
5965543,Jardines del Mundial. Castellana,,No especificado,"Metro: Santiago Bernabéu (línea 10) Bús: 14, 27, 40, 126, 147, 150  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",2,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f87202f3ad73e210VgnVCM2000000c205a0aRCRD,CASTELLANA,PASEO,V,142.0,MADRID,MADRID,28046.0,HISPANOAMERICA,CHAMARTIN,441546.0,4478277.0,40.4530917282714,-3.689383308286706
6011769,Jardines del Príncipe de Anglona,Invierno: de 10 a 18:30 horas  Verano: de 10 a 22:00 horas,No especificado,"Metro: La Latina (línea 5) Bus: 3 , 31 , 50 , 65 , 148   Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",2,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=8019ed1da87ee210VgnVCM1000000b205a0aRCRD,PAJA,PLAZA,V,6.0,MADRID,MADRID,28005.0,PALACIO,CENTRO,439638.0,4473887.0,40.41341734909077,-3.711466649831885
6081387,Jardín Botánico de Pradolongo,De noviembre a febrero de lunes a sábado de 9 a 17:30 horas. De marzo a octubre de lunes a sábado de 9 a 19:30 horas.,No especificado,"Metro: Hospital Doce de Octubre (línea 3) Bus: 6 , 60 , 78 , 81 , 121 , 131 RENFE: Doce de Octubre  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",2,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f8ed0cb2b5120310VgnVCM2000000c205a0aRCRD,RAFAELA YBARRA,AVENIDA,V,0.0,MADRID,MADRID,28026.0,PRADOLONGO,USERA,439542.0,4469484.0,40.37374599660716,-3.712180056298639
5962990,Jardín Concejal Alejandro Muñoz Revenga,,Zonas infantiles,"Bus: 2, 16, 61 y 202  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",2,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=724bdcbc2ad2e210VgnVCM2000000c205a0aRCRD,MELENDEZ VALDES,CALLE,V,32.0,MADRID,MADRID,28015.0,GAZTAMBIDE,CHAMBERI,439591.0,4476067.0,40.43304334055123,-3.712227582685096
5964859,Jardín Doña Concha Piquer,,Zonas infantiles,"Metro: Pirámides (línea 5) Bus: 18 , 23 , 34 , 35 , 36 , 116 , 118 , 119  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",2,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=3181025c5733e210VgnVCM1000000b205a0aRCRD,IMPERIAL,PASEO,V,93.0,MADRID,MADRID,28005.0,IMPERIAL,ARGANZUELA,439330.0,4472632.0,40.402080397498985,-3.714965086287463
5964601,Jardín Fachada Pirámides I,,No especificado,"Metro: Pirámides (Linea 5) Bus: 18, 23 , 34, 35, 36, 116, 118, 119  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",2,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f5e35c528233e210VgnVCM2000000c205a0aRCRD,ACACIAS,PASEO,V,60.0,MADRID,MADRID,28005.0,ACACIAS,ARGANZUELA,439486.0,4472564.0,40.40148810908036,-3.713132255123738
6011700,Jardín Glorieta de Azorín,,No especificado,"Bus: 31 , 41 , 50 , 65  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",2,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=47a40166e57ee210VgnVCM2000000c205a0aRCRD,VEGA,CUESTA,V,3.0,MADRID,MADRID,28013.0,PALACIO,CENTRO,439239.0,4474040.0,40.41475767390192,-3.716171835785045
5994445,Jardín Jazmín,,Zonas infantiles Instalaciones deportivas,"Bus: 29, 125, 129, 150  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",2,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=cae5e8d9af8be210VgnVCM1000000b205a0aRCRD,ROQUETAS DE MAR,CALLE,V,10.0,MADRID,MADRID,28033.0,APOSTOL SANTIAGO,HORTALEZA,444053.0,4481442.0,40.481785094079584,-3.660098332215654
6010978,Jardín Palacio O'Reilly,"Entrada por la calle Sacramento 7: de lunes a viernes de 7:00 a 17:30 horas. Sábados, domingos y festivos cerrado Entrada por la calle Rollo: de lunes a viernes de 7:15 a 19:00 horas. Sábados, domingos y festivos cerrado",No especificado,"Bus: 31, 50, 65  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",2,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=28dec79b4a5ee210VgnVCM1000000b205a0aRCRD,CRUZ VERDE,PLAZA,V,2.0,MADRID,MADRID,28005.0,PALACIO,CENTRO,439608.0,4473974.0,40.41418990040181,-3.7118283820550775
